,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,Ormara,80,PK,1558400070,51,25.21,64.64,31.05,6.87
372,Sulangan,58,PH,1558473695,73,11.14,123.72,29.75,3.96
373,Sampit,52,ID,1558477510,99,-2.54,112.95,23.85,0.99
374,Turbat,59,PK,1558400363,31,26.0,63.05,33.95,7.31
375,Mnogovershinnyy,100,RU,1558463295,97,53.94,139.92,6.05,2.72
376,Beringovskiy,0,RU,1558449720,84,63.05,179.32,-2.45,1.84
377,San Isidro,100,PH,1558473661,87,16.74,121.63,25.35,1.58
378,Minna,100,NG,1558415560,55,9.62,6.55,30.45,0.15
379,Amboise,2,FR,1558411984,63,47.41,0.98,19.44,3.6
380,Kaeo,75,NZ,1558466233,100,-35.1,173.78,10.0,1.11
381,Ilulissat,90,GL,0,92,69.22,-51.1,-1.0,3.1
382,Cherskiy,0,RU,1558446163,86,68.75,161.3,-10.25,0.88
383,Springbok,0,ZA,1558416553,45,-29.67,17.88,14.45,2.91
384,Kandrian,100,PG,1558469052,89,-6.21,149.55,23.05,1.63
385,Poum,75,MK,1558408431,58,41.28,20.71,14.0,3.6
386,Lata,26,IN,1558482431,77,30.78,78.62,-0.55,4.27
387,Mouila,85,GA,1558415499,94,-1.86,11.06,24.15,1.89
388,Elliot Lake,1,CA,1558432263,48,46.37,-82.65,16.0,3.1
389,Matamoros,40,US,1558438902,56,25.87,-97.51,34.0,5.1
390,Nemuro,100,JP,1558464470,98,43.32,145.57,10.25,11.6
391,Ranghulu,54,CN,1558468776,76,46.63,124.88,7.85,5.57
392,Sao Jose da Coroa Grande,19,BR,1558427214,70,-8.9,-35.15,28.95,4.22
393,Altay,44,CN,1558477328,54,47.83,88.13,10.55,1.24
394,Baruun-Urt,25,MN,1558471548,28,46.68,113.28,11.45,0.33
395,Zhangye,1,CN,1558476040,18,38.94,100.46,14.85,2.3
396,Cavalcante,34,BR,1558430615,66,-13.79,-47.46,24.65,3.43
397,Dongli,0,CN,1558473853,68,24.18,117.61,22.0,1.0
398,Dakar,0,SN,1558420846,78,14.69,-17.45,27.0,5.1
399,Joshimath,73,IN,1558482229,24,30.57,79.57,10.35,3.32
400,Port Hawkesbury,90,CA,1558427312,93,45.62,-61.36,5.56,8.2
401,Dalaba,77,GN,1558419974,28,10.69,-12.25,35.15,2.35
402,Uspenka,87,UA,1558402609,64,48.39,39.16,16.35,3.46
403,Faanui,35,PF,1558455903,75,-16.48,-151.75,28.45,4.27
404,Sibolga,100,ID,1558480532,81,1.74,98.78,27.95,3.0
405,Callaway,1,US,1558435314,27,46.98,-95.91,19.44,8.7
406,Port Hedland,0,AU,1558477803,59,-20.31,118.58,18.0,1.5
407,Grafenau,100,DE,1558408681,95,48.86,13.39,13.89,2.3
408,Jawhar,0,IN,1558484956,71,19.91,73.23,28.45,1.41
409,Bandar-e Lengeh,34,IR,1558402260,78,26.56,54.88,28.0,7.2
410,Iberia,64,PE,1558435684,49,-11.41,-69.49,30.95,1.38
411,Katav-Ivanovsk,96,RU,1558396316,75,54.75,58.21,4.35,3.14
412,Yerbogachen,100,RU,1558467902,77,61.28,108.01,11.95,5.73
413,Nabire,100,ID,1558472171,99,-3.36,135.5,21.65,0.67
414,Grand Gaube,75,MU,1558405973,73,-20.01,57.66,24.0,1.5
415,Valley City,1,US,1558435829,33,46.92,-98.0,18.0,9.3
416,Lethem,96,GY,1558432044,64,3.38,-59.8,29.45,1.27
417,Holland,1,US,1558433788,50,42.79,-86.11,16.67,5.1
418,Sorland,0,NO,1558398636,76,67.67,12.69,11.0,6.7
419,Emerald,1,AU,1558471031,87,-23.53,148.16,15.0,2.1
420,Half Moon Bay,75,US,1558443378,67,37.46,-122.43,16.0,7.2
421,Lufilufi,75,WS,1558546840,94,-13.87,-171.6,25.0,1.5
422,Auki,99,NG,1558415333,34,12.18,6.51,34.05,1.73
423,Merauke,4,ID,1558471452,80,-8.49,140.4,27.55,9.31
424,Azua,75,DO,1558433264,74,18.45,-70.73,29.0,8.2
425,Anadyr,0,RU,1558448857,80,64.73,177.51,-1.0,1.0
426,Kavaratti,59,IN,1558486006,79,10.57,72.64,29.65,4.23
427,Baykit,46,RU,1558470457,83,61.68,96.39,2.25,2.04
428,Iskilip,96,TR,1558405223,62,40.73,34.47,16.45,3.28
429,Bud,0,NO,1558404877,77,62.91,6.91,17.22,1.0
430,Zyryanka,24,RU,1558454273,59,65.73,150.89,2.85,2.12
431,Amapa,75,HN,1558437731,44,15.09,-87.97,35.56,4.1
432,Beira,20,ES,1558415065,52,43.2,-8.36,21.67,3.1
433,Samarai,80,PG,1558469180,97,-10.62,150.67,23.05,1.77
434,Kurilsk,100,RU,1558463549,92,45.23,147.88,9.05,11.7
435,Hebi,0,CN,1558473204,16,35.75,114.29,21.55,2.95
436,Canete,75,IT,1558410174,90,46.33,9.49,22.0,5.7
437,Aviles,20,ES,1558414415,77,43.55,-5.92,15.56,5.1
438,Baherden,98,TM,1558400083,55,38.44,57.43,19.45,2.24
439,Belmonte,29,PT,1558415316,62,40.36,-7.35,19.44,2.68
440,Rypefjord,75,NO,0,69,70.63,23.67,6.0,6.7
441,Arkadelphia,20,US,1558436809,66,34.12,-93.05,31.0,7.2
442,Katakwi,63,UG,1558409672,89,1.91,33.96,20.85,2.34
443,Bereda,20,ES,1558414855,52,43.27,-7.54,21.0,3.1
444,Lososina,44,RU,1558464544,95,49.0,140.31,7.05,1.61
445,Mujiayingzi,68,CN,1558471113,44,42.12,118.78,10.45,3.8
446,Kulhudhuffushi,100,MV,1558399867,75,6.62,73.07,29.75,3.26
447,Kem,63,UG,1558409649,87,2.68,33.77,20.85,1.62
448,Los Andes,0,CL,1558438178,22,-32.83,-70.6,18.33,1.0
449,Katangli,100,RU,1558463153,96,51.71,143.23,6.85,4.66
450,Boly,20,HU,1558408082,82,45.97,18.52,15.0,4.6
451,Vangaindrano,3,MG,1558408726,96,-23.35,47.6,21.15,1.66
452,Srednekolymsk,0,RU,1558451331,63,67.46,153.71,-0.15,4.48
453,Gushikawa,75,JP,1558471147,60,26.35,127.87,22.0,5.1
454,Shingu,0,JP,1558468282,53,33.72,135.99,8.05,2.21
455,Kangaatsiaq,0,GL,1558413097,80,68.31,-53.46,1.85,5.07
456,Fossombrone,20,IT,1558409897,64,43.69,12.81,20.56,4.6
457,Raalte,90,NL,1558409483,93,52.39,6.27,13.89,4.6
458,Suntar,1,RU,1558465074,51,62.16,117.65,8.35,2.75
459,Southbridge,20,US,1558430538,34,42.08,-72.03,20.56,6.7
460,Divnomorskoye,90,RU,1558403670,86,44.5,38.13,19.55,0.82
461,Urengoy,100,RU,1558385223,91,65.96,78.37,-4.15,7.37
462,Saint-Louis,75,CH,1558410367,93,47.59,7.56,15.0,1.5
463,Senador Jose Porfirio,100,BR,1558430687,69,-2.59,-51.95,30.25,3.35
464,Rio Tercero,70,AR,1558436538,75,-32.17,-64.11,8.75,4.83
465,Oktyabrskiy,0,RU,1558400880,63,55.61,37.97,21.67,1.0
466,Finschhafen,98,PG,1558469494,91,-6.6,147.85,19.05,1.11
467,Petropavlovsk-Kamchatskiy,75,RU,1558459075,93,53.05,158.65,5.0,3.0
468,Lakes Entrance,18,AU,1558472810,96,-37.88,147.99,6.67,1.68
469,Matadi,73,CD,1558415273,80,-5.83,13.46,26.25,3.78
470,Alyangula,40,AU,1558472898,100,-13.85,136.42,21.0,2.1
471,Alpena,1,US,1558432717,47,45.06,-83.43,20.0,2.1
472,Moen,20,NO,0,54,69.13,18.61,13.0,4.6
473,Berdigestyakh,0,RU,1558462942,44,62.1,126.7,3.45,2.28
474,Valle de Allende,77,MX,1558440670,10,26.94,-105.39,26.45,2.79
475,Opportunity,90,US,1558439556,65,46.11,-112.83,7.0,3.6
476,Gizo,0,IL,1558406411,39,31.8,34.94,26.0,2.6
477,Lubaczow,100,PL,1558406033,90,50.16,23.12,13.33,2.68
478,Dondo,0,MZ,1558411437,94,-19.62,34.74,21.0,1.5
479,Isangel,20,VU,1558465558,93,-19.55,169.27,19.0,8.92
480,Suzaka,37,JP,1558467307,33,36.61,138.35,13.89,1.59
481,Tinskoy,100,RU,1558472862,85,56.15,96.92,7.45,2.7
482,Vila Franca do Campo,75,PT,1558420070,93,37.72,-25.43,18.0,5.1
483,Okha,98,RU,1558462677,97,53.59,142.95,3.85,4.83
484,Daru,89,SL,1558419884,91,7.99,-10.85,25.95,1.73
485,Ahipara,100,NZ,1558466391,100,-35.17,173.16,10.0,2.1
486,Alofi,100,NU,1558460514,94,-19.06,-169.92,24.0,6.2
487,Teya,75,MX,1558437399,44,21.05,-89.07,37.22,7.2
488,Murdochville,100,CA,1558427574,97,48.96,-65.49,1.55,4.83
489,Asyut,0,EG,1558407872,26,27.18,31.19,35.0,2.6
490,Fonte Boa,100,BR,1558434074,91,-2.51,-66.09,24.95,3.41
491,Mahajanga,20,MG,1558408283,88,-15.72,46.32,26.0,2.1
492,Punta de Bombon,100,PE,1558436774,80,-17.17,-71.79,17.95,5.06
493,Abonnema,75,NG,1558415945,100,4.71,6.79,23.0,2.6
494,Ostuacan,0,MX,1558438782,33,17.42,-93.3,38.35,2.0
495,Port Keats,62,AU,1558474584,51,-14.25,129.55,29.05,4.14
496,Uvalde,1,US,1558439058,22,29.21,-99.79,30.56,2.6
497,Matara,0,PE,1558436717,15,-13.74,-72.9,16.0,2.61
498,Zhigansk,1,RU,1558459624,68,66.77,123.37,0.25,5.15
499,Kaabong,10,UG,1558409487,83,3.51,34.14,19.35,1.7
500,Bhum,100,IN,1558484517,20,18.47,75.67,37.65,9.54
501,Boyolangu,78,ID,1558478257,91,-8.09,111.9,23.05,2.26
502,Tigil,57,RU,1558457424,67,57.8,158.67,5.05,4.25
503,Rosh Pinna,58,IL,1558406115,87,32.97,35.54,22.22,2.45
504,Ler,0,NO,1558403869,47,63.2,10.3,24.0,4.1
505,Shahrud,100,IR,1558400976,98,36.42,54.97,5.85,2.26
506,Guiyang,93,CN,1558476198,93,26.58,106.71,14.0,2.0
507,Tianpeng,13,CN,1558474575,56,28.88,112.34,17.95,1.5
508,Saint Anthony,90,US,1558439703,54,43.97,-111.68,12.0,2.6
509,Dutse,99,NG,1558414693,30,11.76,9.34,35.35,2.17
510,Sale,0,GB,1558411243,44,53.42,-2.32,15.56,4.6
511,Pereira Barreto,17,BR,1558432148,43,-20.64,-51.11,28.15,1.7
512,Itoman,75,JP,1558471221,60,26.12,127.67,22.0,5.1
513,Newtyle,20,GB,1558410397,71,56.56,-3.14,13.0,3.65
514,Flinders,40,AU,1558471670,82,-34.58,150.85,17.22,2.1
515,Nalut,100,LY,1558412151,38,31.86,10.98,21.85,7.2
516,Palmer,0,AU,1558474513,81,-34.85,139.16,12.22,2.6
517,Yatou,98,CM,1558415316,76,3.63,9.81,29.35,5.62
518,Narrabri,22,AU,1558471397,71,-30.33,149.78,12.78,2.6
519,Preobrazheniye,57,RU,1558467344,96,42.9,133.91,4.95,0.31
520,Mount Isa,0,AU,1558472825,55,-20.73,139.49,19.0,3.1
521,Juba,97,EE,1558402701,63,57.82,26.93,19.44,1.5
522,Sinnamary,100,GF,1558430225,83,5.38,-52.96,27.15,6.1
523,Reading,1,US,1558431770,39,40.34,-75.93,21.11,3.6
524,Dvinskoy,0,RU,1558396200,43,62.16,45.12,7.25,1.71
525,Abeche,38,TD,1558411742,23,13.83,20.83,35.35,6.81
526,San Quintin,51,PH,1558473848,84,17.54,120.52,25.25,1.3
527,Santa Rosalia,0,IT,1558410733,59,38.07,13.27,18.89,2.6
528,Sharkan,1,RU,1558396450,56,57.3,53.87,8.89,2.42
529,Kenai,90,US,1558444158,81,60.55,-151.26,11.11,1.5
530,Brae,75,GB,1558408311,93,60.4,-1.35,10.0,4.6
531,Valavanur,0,IN,1558484215,61,11.92,79.58,30.45,4.21
532,Marsa Matruh,21,EG,1558408313,51,31.35,27.25,24.55,7.42
533,Vytegra,95,RU,1558398934,81,61.01,36.45,12.45,2.92
534,Port Victoria,0,AU,1558474868,72,-34.5,137.49,17.95,4.34
535,Pilibanga,65,IN,1558483681,16,29.49,74.08,36.75,2.29
536,Biankouma,100,CI,1558419129,76,7.74,-7.61,27.35,0.39
537,Tura,16,IN,1558480278,87,25.52,90.21,25.65,2.71
538,Giresun,75,TR,1558404253,93,40.91,38.39,19.0,0.5
539,Narsaq,40,GL,1558418757,22,60.91,-46.05,15.0,9.3
540,Puerto Baquerizo Moreno,0,EC,1558439575,69,-0.9,-89.6,27.0,7.7
541,Mackay,20,CA,1558438329,46,53.65,-115.58,16.0,10.3
542,Bajil,93,ES,1558414389,34,38.23,-2.07,17.95,0.95
543,Izhma,35,RU,1558392006,52,65.01,53.91,3.65,1.6
